date,mktrf,smb,hml,rf,umd
20080716,0.025200,0.000300,0.047500,0.00007,-0.058300
20080717,0.011300,-0.000800,0.041100,0.00007,-0.057300
20080718,-0.000800,-0.007800,0.010900,0.00007,-0.005800
20080721,0.001600,0.003000,-0.005700,0.00007,0.007600
20080722,0.013700,0.009500,0.031600,0.00007,-0.043500
20080723,0.003200,0.000500,0.016000,0.00007,-0.038300
20080724,-0.023100,0.005100,-0.028700,0.00007,0.038300
20080725,0.004700,0.009000,-0.009900,0.00007,0.013100
20080728,-0.017600,0.000200,-0.013800,0.00007,0.025100
20080729,0.022700,-0.002900,0.031700,0.00007,-0.039400
20080730,0.015800,-0.013500,-0.001500,0.00007,0.013000
20080731,-0.011600,0.006100,0.003800,0.00007,-0.009300
20080801,-0.004700,0.006600,0.008500,0.00006,-0.010300
20080804,-0.010900,-0.002200,0.005000,0.00006,-0.013900
20080805,0.026500,-0.005700,0.016600,0.00006,-0.032800
20080806,0.005000,0.005300,-0.011400,0.00006,0.008300
20080807,-0.017300,0.006200,-0.017300,0.00006,0.020500
20080808,0.022800,0.005900,0.013700,0.00006,-0.029300
20080811,0.008300,0.013800,0.012000,0.00006,-0.018700
20080812,-0.010500,0.009800,-0.019300,0.00006,0.020700
20080813,-0.001500,0.007500,-0.020300,0.00006,0.030300
20080814,0.006300,0.001000,0.013000,0.00006,-0.019800
20080815,0.003800,-0.003600,0.010700,0.00006,-0.018300
20080818,-0.014500,0.002800,-0.008900,0.00006,0.017400
20080819,-0.010000,-0.005600,-0.012400,0.00006,0.028000
20080820,0.005400,-0.006500,-0.000700,0.00006,0.007900
20080821,0.001200,-0.009000,-0.004600,0.00006,0.006800
20080822,0.011400,0.004300,0.010300,0.00006,-0.018600
20080825,-0.019200,-0.001200,-0.005200,0.00006,0.009800
20080826,0.003300,-0.002000,0.001400,0.00006,0.002300
20080827,0.008800,0.002700,0.002900,0.00006,-0.004300
20080828,0.015100,0.001500,0.018000,0.00006,-0.020300
20080829,-0.012500,0.002400,0.006300,0.00006,-0.004800
20080902,-0.004400,0.003100,0.020300,0.00007,-0.023100
20080903,-0.002300,0.005400,0.016600,0.00007,-0.016500
20080904,-0.029000,0.002000,-0.004700,0.00007,0.012700
20080905,0.004200,-0.008300,0.015800,0.00007,-0.008600
20080908,0.017600,-0.005600,0.022000,0.00007,-0.021000
20080909,-0.034100,0.005800,-0.006900,0.00007,0.009500
20080910,0.007000,0.004100,-0.007900,0.00007,0.020900
20080911,0.012200,-0.009400,0.001800,0.00007,0.007100
20080912,0.002900,-0.001700,-0.002100,0.00007,0.010900
20080915,-0.044500,0.014700,-0.022400,0.00007,0.029500
20080916,0.016500,0.002800,0.019600,0.00007,-0.000300
20080917,-0.046000,0.006000,-0.021300,0.00007,0.018700
20080918,0.044100,0.010800,0.048300,0.00007,-0.045100
20080919,0.042700,-0.019700,0.036000,0.00007,-0.036200
20080922,-0.039300,0.003300,-0.033700,0.00007,0.026400
20080923,-0.015500,0.001000,0.001500,0.00007,0.002900
20080924,-0.003200,-0.010500,-0.007600,0.00007,0.010500
20080925,0.017000,-0.011600,0.006500,0.00007,-0.004500
20080926,0.001100,-0.009000,0.009500,0.00007,-0.004300
20080929,-0.082600,0.034000,-0.036700,0.00007,0.032300
20080930,0.048800,-0.036700,0.028500,0.00007,-0.026700
